CHARTER,REG,ASSET,DEP,TYPE
N,SOUTHERN,979585,813205,FAILURE
N,WESTERN,123508,85150,FAILURE
NM,SOUTHERN,285015,259056,FAILURE
N,MIDWESTERN,669830,532520,FAILURE
NM,SOUTHERN,172454,159048,FAILURE
NM,WESTERN,238307,174872,FAILURE
NM,MIDWESTERN,235154,225735,FAILURE
NM,WESTERN,134206,115976,FAILURE
NM,WESTERN,71921,64168,FAILURE
SM,SOUTHERN,523673,422708,FAILURE
NM,MIDWESTERN,260201,233788,FAILURE
NM,MIDWESTERN,135431,90647,FAILURE
NM,SOUTHERN,317237,279308,FAILURE
NM,WESTERN,1113361,951106,FAILURE
SM,WESTERN,1711552,1324635,FAILURE
NM,WESTERN,300674,282578,FAILURE
SB,SOUTHERN,347408,301847,FAILURE
N,SOUTHERN,219424,204663,FAILURE
NM,WESTERN,797959,678570,FAILURE
N,NORTHEASTERN,35410586,500,ASSISTANCE
N,WESTERN,11526309,500,ASSISTANCE
NM,WESTERN,441085,377506,FAILURE
SB,NORTHEASTERN,37986413,28539028,ASSISTANCE
N,SOUTHERN,159637136,9816599,ASSISTANCE
SB,SOUTHERN,117978966,43663251,ASSISTANCE
NM,WESTERN,61809503,53620324,ASSISTANCE
N,WESTERN,21502223,500,ASSISTANCE
N,MIDWESTERN,419741,395868,FAILURE
N,SOUTHERN,1471631047,954677580,ASSISTANCE
NM,SOUTHERN,559551,489692,FAILURE
NM,SOUTHERN,38217,32012,FAILURE
SM,SOUTHERN,256371,215287,FAILURE
N,MIDWESTERN,374903,300881,ASSISTANCE
N,MIDWESTERN,77737957,42356986,ASSISTANCE
NM,WESTERN,1322720,876086,ASSISTANCE
SB,SOUTHERN,19599414,7231013,ASSISTANCE
N,WESTERN,1207007000,230042000,ASSISTANCE
SL,WESTERN,12779371,9653169,FAILURE
SB,WESTERN,3715433,2393845,FAILURE
NM,SOUTHERN,634901,603733,FAILURE
SI,SOUTHERN,5089260,3692887,FAILURE
NM,WESTERN,527959,456472,FAILURE
NM,SOUTHERN,270842,256793,FAILURE
NM,SOUTHERN,354090,344231,FAILURE
NM,MIDWESTERN,112368,98934,FAILURE
NM,MIDWESTERN,38223,36090,FAILURE
SB,WESTERN,307021614,188260793,FAILURE
SB,SOUTHERN,103965,100901,FAILURE
NM,WESTERN,1957120,1733091,FAILURE
NM,SOUTHERN,1107514,962456,FAILURE
NM,MIDWESTERN,735071,620354,FAILURE
NM,SOUTHERN,258610,226698,FAILURE
N,WESTERN,255376,234812,FAILURE
N,WESTERN,3411145,3038053,FAILURE
SL,WESTERN,30698512,18941727,FAILURE
N,MIDWESTERN,52916,50178,FAILURE
N,SOUTHERN,1895545,1815691,FAILURE
NM,MIDWESTERN,18682,13566,FAILURE
N,MIDWESTERN,52824,50250,FAILURE
NM,MIDWESTERN,125362,119601,FAILURE
SB,SOUTHERN,2473806,2290046,FAILURE
SI,NORTHEASTERN,15760,14540,FAILURE
SM,WESTERN,56774,52329,FAILURE
NM,NORTHEASTERN,28637,27881,FAILURE
N,SOUTHERN,71280,65614,FAILURE
SB,NORTHEASTERN,13408,10909,FAILURE
SI,NORTHEASTERN,8487,9058,FAILURE
N,MIDWESTERN,34536,28760,FAILURE
NM,WESTERN,904294,864160,FAILURE
NM,SOUTHERN,35317,32103,FAILURE
NM,SOUTHERN,58454,52157,FAILURE
SM,SOUTHERN,92144,73205,FAILURE
SB,MIDWESTERN,51628,40340,FAILURE
NM,NORTHEASTERN,384172,344416,FAILURE
SM,MIDWESTERN,21091,18902,FAILURE
N,SOUTHERN,37207,31601,FAILURE
N,WESTERN,700180,551297,FAILURE
SM,MIDWESTERN,72267,60168,FAILURE
NM,SOUTHERN,10764,9914,FAILURE
